dispositif_id,origin_id
6a1ef02f62dcb0a93aefbc04,carif-oref--14_SE_0001597187
6a1ef78062dcb0a93aefbe93,carif-oref--07_816811S
6a1ff1924c5a31a250513424,carif-oref--02_00540249
6a216dfe263477543637278b,carif-oref--07_757987S
6a2178ac2634775436372b24,carif-oref--02_00540263
6a219bffc652c5bb1156f55a,carif-oref--07_760934S
6a22d706c652c5bb115729b0,carif-oref--14_SE_0001754264
6a22e7d6c652c5bb11572f02,carif-oref--14_SE_0001610502
6a243e69cd2bbe3365ecd389,carif-oref--21_276604
6a244b37f73859a016148499,carif-oref--14_SE_0001607456
6a245054f73859a016148539,carif-oref--07_337645S
6a280a1391baaaa028dcf119,carif-oref--07_337640S
6a29312691baaaa028dd1ef0,carif-oref--01_GE2047915
6a2939fc91baaaa028dd2189,carif-oref--07_760936S
6a29816b3fd7e43cad4c60b1,carif-oref--01_GE2051036
6a2a79713fd7e43cad4c93c4,carif-oref--02_00640647
6a2a7d813fd7e43cad4c9525,carif-oref--07_730614S
6a2a832e3fd7e43cad4c97b1,carif-oref--02_00640671
6a2a93423fd7e43cad4c9ca8,carif-oref--14_SE_0001856568
6a2abe9098ca349c38b22415,carif-oref--14_SE_0001880705
6a2ac44098ca349c38b22582,carif-oref--14_SE_0001880286
6a2aecd798ca349c38b22e2f,carif-oref--24_1567048
6a2beb00c9ee8e5d88a0e919,carif-oref--14_SE_0001608244
6a2bed65c9ee8e5d88a0e96c,carif-oref--24_1568300
6a2bef56c9ee8e5d88a0ea1a,carif-oref--24_1611922
6a2c343ac9ee8e5d88a0fa7e,carif-oref--02_00346502
6a2c4896c9ee8e5d88a10384,carif-oref--28_28S2500023
6a2e90eb7da026918e79f843,carif-oref--03_2566031S
6a2e94157da026918e79f947,carif-oref--14_SE_0001880769
6a2e96e97da026918e79f9d4,carif-oref--14_SE_0001864898
6a2e9b3d7da026918e79fadd,carif-oref--24_1568292
6a2ea3567da026918e79fc5f,carif-oref--24_1612736
6a2ead3a7da026918e79fdff,carif-oref--01_GE2056823
6a2ec78375c2a6e48b90916d,carif-oref--07_674691S
6a2ed51975c2a6e48b909bdb,carif-oref--01_GE1997740
6a2edeab75c2a6e48b90a278,carif-oref--14_SE_0001596795
6a2ee34175c2a6e48b90a574,carif-oref--03_2593103S
6a2eea1b75c2a6e48b90a80b,carif-oref--02_00375614
6a2ef25d75c2a6e48b90a915,carif-oref--10_415530S
6a2ef6a075c2a6e48b90a993,carif-oref--24_1611746
6a2f010975c2a6e48b90ab20,carif-oref--21_256693
6a325aee9678d79417a6e797,carif-oref--02_00511953
6a33b1379678d79417a72967,carif-oref--04_624267S
6a33bdbf9678d79417a72c32,carif-oref--02_00231073
6a33e50d9678d79417a769fe,carif-oref--07_730663S
6a33f30685ef93f34dd22c8f,carif-oref--14_SE_0001857102
6a3418bffeaad6b8acdd52d2,carif-oref--02_00553859
6a3524c6feaad6b8acdd7f5d,carif-oref--01_GE1912267
6a352a55feaad6b8acdd800c,carif-oref--14_SE_0001607602
6a353d8df431f521bec1ea1e,carif-oref--28_28S2500018
6a369f9be79c9b805eea71c1,carif-oref--10_422936S
6a36b205e79c9b805eea7494,carif-oref--14_SE_0001607217
6a36bb3ee79c9b805eea75ff,carif-oref--14_SE_0001857222
6a36c87fe79c9b805eea7791,carif-oref--02_00638057
6a36d025e79c9b805eea789a,carif-oref--24_1568296
6a36db13e79c9b805eea79b1,carif-oref--14_SE_0001694172
6a3801862fa9d1e9b656f3f4,carif-oref--10_378743S
